InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,YearMonth
577022,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-11-17 12:42:00,2.95,13668.0,United Kingdom,17.700000000000003,2011-11
556576,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,2011-06-13 13:55:00,4.95,14606.0,United Kingdom,9.9,2011-06
561923,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2011-08-01 12:16:00,1.25,14112.0,United Kingdom,30.0,2011-08
573511,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-10-31 12:25:00,0.55,12347.0,Iceland,13.2,2011-10
557893,23171,REGENCY TEA PLATE GREEN ,12,2011-06-23 14:12:00,1.65,15228.0,United Kingdom,19.8,2011-06
545515,22715,CARD WEDDING DAY,12,2011-03-03 12:06:00,0.42,12727.0,France,5.04,2011-03
548212,22857,ASSORTED EASTER GIFT TAGS,12,2011-03-30 09:12:00,0.85,12456.0,Switzerland,10.2,2011-03
545428,22423,REGENCY CAKESTAND 3 TIER,4,2011-03-02 14:43:00,12.75,14239.0,United Kingdom,51.0,2011-03
578074,23491,VINTAGE JINGLE BELLS HEART,5,2011-11-22 16:06:00,8.25,17590.0,United Kingdom,41.25,2011-11
573876,21917,SET 12 KIDS  WHITE CHALK STICKS,2,2011-11-01 12:48:00,0.42,16360.0,United Kingdom,0.84,2011-11
541225,22312,OFFICE MUG WARMER POLKADOT,2,2011-01-14 14:47:00,2.95,14099.0,United Kingdom,5.9,2011-01
580054,23350,ROLL WRAP VINTAGE SPOT ,3,2011-12-01 13:08:00,1.25,18122.0,United Kingdom,3.75,2011-12
543734,22926,IVORY GIANT GARDEN THERMOMETER,6,2011-02-11 12:22:00,5.95,17512.0,United Kingdom,35.7,2011-02
543132,22029,SPACEBOY BIRTHDAY CARD,12,2011-02-03 15:27:00,0.42,15235.0,United Kingdom,5.04,2011-02
574659,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-11-06 11:44:00,2.08,16942.0,United Kingdom,4.16,2011-11
565649,23206,LUNCH BAG APPLE DESIGN,3,2011-09-05 16:27:00,1.65,16712.0,United Kingdom,4.949999999999999,2011-09
565766,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2011-09-06 14:23:00,2.55,17841.0,United Kingdom,2.55,2011-09
542401,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-01-27 15:51:00,2.95,14541.0,United Kingdom,2.95,2011-01
565541,82616B,FRAPPUCINO SCARF KNITTING KIT,2,2011-09-05 12:00:00,1.25,14159.0,United Kingdom,2.5,2011-09
553731,23160,REGENCY TEA SPOON,12,2011-05-19 08:26:00,1.25,12481.0,Germany,15.0,2011-05
574737,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-11-06 15:53:00,1.65,14868.0,United Kingdom,19.8,2011-11
548611,21790,VINTAGE SNAP CARDS,24,2011-04-01 11:31:00,0.85,18230.0,United Kingdom,20.4,2011-04
574740,22969,HOMEMADE JAM SCENTED CANDLES,96,2011-11-06 16:07:00,1.25,12357.0,Switzerland,120.0,2011-11
551056,21899,"KEY FOB , GARAGE DESIGN",1,2011-04-26 11:51:00,0.65,16442.0,United Kingdom,0.65,2011-04
578270,21703,BAG 125g SWIRLY MARBLES,1,2011-11-23 13:39:00,0.83,14096.0,United Kingdom,0.83,2011-11
561113,20718,RED RETROSPOT SHOPPER BAG,4,2011-07-25 12:09:00,1.25,17841.0,United Kingdom,5.0,2011-07
564353,22956,36 FOIL HEART CAKE CASES,12,2011-08-24 15:08:00,2.1,15764.0,United Kingdom,25.200000000000003,2011-08
581251,22193,RED DINER WALL CLOCK,2,2011-12-08 11:02:00,8.5,18210.0,United Kingdom,17.0,2011-12
576779,21156,RETROSPOT CHILDRENS APRON,3,2011-11-16 13:25:00,1.95,14554.0,United Kingdom,5.85,2011-11
557442,22545,MINI JIGSAW BUNNIES,4,2011-06-20 12:53:00,0.42,14808.0,United Kingdom,1.68,2011-06
539590,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,12,2010-12-20 13:21:00,8.5,14733.0,United Kingdom,102.0,2010-12
576560,23203,JUMBO BAG VINTAGE DOILY ,1,2011-11-15 13:21:00,2.08,12877.0,United Kingdom,2.08,2011-11
563924,21899,GARAGE KEY FOB,1,2011-08-21 14:32:00,0.65,15984.0,United Kingdom,0.65,2011-08
556063,23209,LUNCH BAG DOILEY PATTERN ,2,2011-06-08 14:09:00,1.65,14587.0,United Kingdom,3.3,2011-06
555815,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-06-07 11:47:00,1.25,13089.0,United Kingdom,15.0,2011-06
549976,21577,SAVE THE PLANET COTTON TOTE BAG,6,2011-04-13 14:39:00,2.25,15855.0,United Kingdom,13.5,2011-04
578323,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-11-23 17:19:00,4.95,15743.0,United Kingdom,19.8,2011-11
578678,23582,VINTAGE DOILY JUMBO BAG RED ,1,2011-11-24 19:59:00,2.08,17841.0,United Kingdom,2.08,2011-11
552265,22747,POPPY'S PLAYHOUSE BATHROOM,2,2011-05-08 11:41:00,2.1,14161.0,United Kingdom,4.2,2011-05
543024,21864,UNION JACK FLAG PASSPORT COVER ,36,2011-02-02 14:39:00,1.69,13777.0,United Kingdom,60.84,2011-02
540473,21207,SKULL AND CROSSBONES  GARLAND ,3,2011-01-07 14:31:00,1.65,17284.0,United Kingdom,4.949999999999999,2011-01
547382,21181,PLEASE ONE PERSON METAL SIGN,2,2011-03-22 15:31:00,2.1,15457.0,United Kingdom,4.2,2011-03
556782,21470,FLOWER VINE RAFFIA FOOD COVER,3,2011-06-14 13:04:00,3.75,14871.0,United Kingdom,11.25,2011-06
549993,22963,JAM JAR WITH GREEN LID,24,2011-04-14 08:26:00,0.85,14057.0,United Kingdom,20.4,2011-04
537781,21983,PACK OF 12 BLUE PAISLEY TISSUES ,1,2010-12-08 12:46:00,0.29,17341.0,United Kingdom,0.29,2010-12
542795,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-02-01 10:59:00,4.95,18055.0,United Kingdom,29.700000000000003,2011-02
579868,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-11-30 16:43:00,0.83,15544.0,United Kingdom,19.92,2011-11
561615,22840,ROUND CAKE TIN VINTAGE RED,4,2011-07-28 12:57:00,7.95,13319.0,United Kingdom,31.8,2011-07
547375,22150,3 STRIPEY MICE FELTCRAFT,6,2011-03-22 14:24:00,1.95,13196.0,United Kingdom,11.7,2011-03
536500,22113,GREY HEART HOT WATER BOTTLE,3,2010-12-01 12:35:00,3.75,17377.0,United Kingdom,11.25,2010-12
565434,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-09-04 13:35:00,2.08,12867.0,United Kingdom,4.16,2011-09
566851,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-09-15 12:16:00,9.95,15573.0,United Kingdom,19.9,2011-09
578078,23176,ABC TREASURE BOOK BOX ,8,2011-11-22 16:24:00,2.25,12586.0,Italy,18.0,2011-11
553402,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2011-05-16 17:13:00,1.25,17898.0,United Kingdom,2.5,2011-05
574706,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2011-11-06 14:06:00,1.25,16790.0,United Kingdom,15.0,2011-11
